,0,1,2,3,4
403,CLSB,GAZP,2017-07-07,0.0939,0.2899
404,CLSB,GMKN,2017-07-07,0.1266,0.2749
405,CLSB,IDVP,2017-07-07,-0.2646,-0.5306
406,CLSB,LKOH,2017-07-07,-0.0197,-0.0418
407,CLSB,MICEXINDEXCF,2017-07-07,0.0392,0.1589
408,CLSB,PHOR,2017-07-07,0.0098,0.0257
409,CLSB,RTSCH,2017-07-07,-0.193,-0.7417
410,CLSB,RTSEU,2017-07-07,-0.0365,-0.0959
411,CLSB,RTSI,2017-07-07,-0.0944,-0.3198
412,CLSB,RTSMM,2017-07-07,-0.2452,-0.745
413,CLSB,RTSSTD,2017-07-07,0.0357,0.1331
414,CLSB,RTSTN,2017-07-07,0.1607,0.2622
415,CLSB,SBER,2017-07-07,0.0083,0.0162
416,CLSBP,GAZP,2017-07-07,-0.0647,-0.3163
417,CLSBP,GMKN,2017-07-07,0.1449,0.4981
418,CLSBP,IDVP,2017-07-07,0.0049,0.0155
419,CLSBP,LKOH,2017-07-07,-0.2038,-0.6849
420,CLSBP,MICEXINDEXCF,2017-07-07,-0.1541,-0.9872
421,CLSBP,PHOR,2017-07-07,-0.1234,-0.5145
422,CLSBP,RTSCH,2017-07-07,-0.2076,-1.2629
423,CLSBP,RTSEU,2017-07-07,-0.1968,-0.8188
424,CLSBP,RTSI,2017-07-07,-0.1808,-0.9696
425,CLSBP,RTSMM,2017-07-07,-0.0005,-0.0022
426,CLSBP,RTSSTD,2017-07-07,-0.1558,-0.9196
427,CLSBP,RTSTN,2017-07-07,-0.0687,-0.1775
428,CLSBP,SBER,2017-07-07,0.0059,0.0182
429,CNTL,GAZP,2017-07-07,-0.3697,-1.2223
430,CNTL,GMKN,2017-07-07,0.0812,0.1887
431,CNTL,IDVP,2017-07-07,0.1675,0.3596
432,CNTL,LKOH,2017-07-07,-0.1467,-0.3333
433,CNTL,MICEXINDEXCF,2017-07-07,-0.1872,-0.8111
434,CNTL,PHOR,2017-07-07,-0.0723,-0.2039
435,CNTL,RTSCH,2017-07-07,0.3097,1.2741
436,CNTL,RTSEU,2017-07-07,0.0474,0.1333
437,CNTL,RTSI,2017-07-07,-0.0559,-0.2026
438,CNTL,RTSMM,2017-07-07,0.0998,0.3246
439,CNTL,RTSSTD,2017-07-07,-0.2078,-0.8293
440,CNTL,RTSTN,2017-07-07,-0.0329,-0.0574
441,CNTL,SBER,2017-07-07,-0.1716,-0.3575
442,CNTLP,GAZP,2017-07-07,0.3298,0.7611
443,CNTLP,GMKN,2017-07-07,0.1052,0.1707
444,CNTLP,IDVP,2017-07-07,0.1231,0.1844
445,CNTLP,LKOH,2017-07-07,0.3613,0.5732
446,CNTLP,MICEXINDEXCF,2017-07-07,0.2094,0.6332
447,CNTLP,PHOR,2017-07-07,0.4514,0.8887
448,CNTLP,RTSCH,2017-07-07,0.2567,0.7371
449,CNTLP,RTSEU,2017-07-07,0.1137,0.2233
450,CNTLP,RTSI,2017-07-07,0.1539,0.3894
451,CNTLP,RTSMM,2017-07-07,0.1556,0.3533
452,CNTLP,RTSSTD,2017-07-07,0.1751,0.4877
453,CNTLP,RTSTN,2017-07-07,0.0072,0.0087
454,CNTLP,SBER,2017-07-07,-0.1302,-0.1894
455,DASB,GAZP,2017-07-07,0.061,0.3334
456,DASB,GMKN,2017-07-07,0.15,0.5768
457,DASB,IDVP,2017-07-07,-0.0572,-0.2028
458,DASB,LKOH,2017-07-07,-0.0872,-0.3278
